,Close,Date,High,Low,Open
736618,4.491,736618,5.329,4.27,4.635
736619,4.079,736619,4.639,3.72,4.491
736620,3.885,736620,4.288,3.75,4.079
736621,3.749,736621,4.113,3.59,3.885
736622,3.46,736622,3.931,3.385,3.749
736623,3.488,736623,3.509,3.214,3.46
736624,3.366,736624,3.512,3.3,3.488
736625,3.195,736625,3.38,3.106,3.366
736626,3.7,736626,3.845,3.072,3.195
736627,3.501,736627,3.735,3.478,3.7
736628,3.415,736628,3.58,3.356,3.508
736629,3.48,736629,3.529,3.371,3.415
736630,3.451,736630,3.517,3.41,3.471
736631,3.291,736631,3.501,3.218,3.45
736632,3.295,736632,3.371,3.26,3.291
736633,3.072,736633,3.332,3.048,3.295
736634,2.83,736634,3.257,2.822,3.077
736635,2.865,736635,3.05,2.439,2.829
736636,2.874,736636,4.016,2.62,2.865
736637,2.734,736637,2.912,2.689,2.873
736638,2.696,736638,2.75,2.615,2.734
736639,2.9,736639,2.931,2.692,2.696
736640,2.899,736640,2.91,2.788,2.9
736641,2.934,736641,3.022,2.7,2.889
736642,3.035,736642,3.1,2.92,2.925
736643,3.098,736643,3.192,2.955,3.035
736644,3.305,736644,3.411,3.03,3.1
736645,3.273,736645,3.55,2.948,3.308
736646,3.092,736646,3.363,2.963,3.277
736647,3.123,736647,3.207,3.041,3.097
736648,2.884,736648,3.131,2.801,3.123
736649,2.896,736649,4,2.74,2.873
736650,2.905,736650,3.17,2.72,2.896
736651,2.928,736651,2.973,2.854,2.906
736652,2.895,736652,3.062,2.825,2.926
736653,2.929,736653,3.04,2.87,2.895
736654,2.867,736654,2.991,2.821,2.915
736655,2.902,736655,2.967,2.81,2.867
736656,2.983,736656,3.065,2.855,2.901
736657,2.928,736657,3.01,2.736,2.985
736658,2.826,736658,3,2.825,2.928
736659,2.629,736659,2.833,2.575,2.826
736660,2.547,736660,2.653,2.526,2.629
736661,2.83,736661,2.87,2.513,2.536
736662,2.42,736662,2.839,2.371,2.838
736663,2.364,736663,2.492,2.3,2.414
736664,2.291,736664,2.416,2.28,2.364
736665,2.243,736665,2.297,2.215,2.294
736666,2.191,736666,2.249,2.136,2.243
736667,2.137,736667,2.197,2.118,2.193
736668,1.997,736668,2.138,1.981,2.13
736669,1.574,736669,2.004,1.503,1.997
736670,1.219,736670,1.597,1.204,1.574
736671,1.47,736671,1.755,1.18,1.212
736672,1.6,736672,1.779,1.441,1.47
736673,1.527,736673,1.777,1.466,1.6
736674,1.481,736674,1.537,1.401,1.527
736675,2.313,736675,2.8,1.451,1.488
736676,2.838,736676,3.157,2.078,2.313
736677,5.068,736677,5.358,2.769,2.835
736678,4.208,736678,5.07,3.503,5.068
736679,3.846,736679,4.611,3.696,4.205
736680,3.737,736680,4.002,3.55,3.846
736681,3.988,736681,4.399,3.651,3.736
736682,4.229,736682,4.49,3.918,3.988
736683,4.376,736683,4.45,4.047,4.233
736684,7.284,736684,7.444,4.365,4.376
736685,7.565,736685,8.61,6,7.28
736686,7.136,736686,7.725,6.85,7.565
736687,7.13,736687,7.588,6.8,7.135
736688,7.148,736688,7.26,6.998,7.13
736689,6.844,736689,7.159,6.1,7.15
736690,7.835,736690,8.456,6.722,6.844
736691,8.755,736691,9.434,7.698,7.835
736692,13.436,736692,13.85,8.704,8.75
736693,14.801,736693,19.658,13.139,13.401
736694,14.288,736694,15.885,12.2,14.801
736695,15.24,736695,15.755,13.881,14.252
736696,14.885,736696,15.834,12.935,15.24
736697,17.976,736697,19.547,14.424,14.885
736698,18.1,736698,22.899,16.276,17.974
736699,14.763,736699,20.42,13.5,18.095
736700,15.375,736700,17.5,14.4,14.717
736701,16.99,736701,17.891,15.321,15.354
736702,15.952,736702,17.07,14.12,16.992
736703,14.226,736703,16.3,13.41,15.952
736704,13.094,736704,14.912,11.98,14.225
736705,14.56,736705,16.408,11.876,13.134
736706,14.68,736706,15.857,14.001,14.56
736707,13.936,736707,14.845,13.5,14.686
736708,13.39,736708,14,13.215,13.999
736709,12.175,736709,13.733,12.01,13.39
736710,10.3,736710,12.85,8.55,12.175
736711,11.7,736711,12.457,9.42,10.3
736712,13.993,736712,14.534,11.3,11.7
736713,13.323,736713,14.7,13.148,14.018
736714,12.265,736714,13.4,11.901,13.391
736715,11.838,736715,12.337,11.358,12.265
736716,12.4,736716,12.565,11.133,11.838
736717,12.309,736717,12.794,11.786,12.4
736718,11.873,736718,12.513,11.8,12.342
736719,11.615,736719,11.999,11.6,11.873
736720,10.879,736720,11.62,10.68,11.615
736721,10.607,736721,10.993,10.566,10.879
736722,11.56,736722,11.822,10.52,10.607
736723,11.275,736723,11.6,11.2,11.555
736724,10.95,736724,11.433,10.838,11.302
736725,11.109,736725,11.271,10.52,10.949
736726,10.422,736726,11.118,10.229,11.111
736727,10.081,736727,10.735,8.43,10.422
736728,10.332,736728,10.786,9.456,10.129
736729,9.95,736729,10.447,9.85,10.391
736730,9.841,736730,10.25,9.54,9.95
736731,9.857,736731,10.091,9.549,9.841
736732,9.424,736732,9.92,9.303,9.87
736733,9.475,736733,9.599,8.84,9.424
736734,10.605,736734,10.85,9.336,9.486
736735,11.975,736735,13.74,10.431,10.605
736736,11.893,736736,12.478,11.2,11.975
736737,11.7,736737,12.252,11.5,11.91
736738,11.579,736738,11.79,11.444,11.731
736739,11.9,736739,12.46,11.175,11.579
736740,11.011,736740,11.945,10.899,11.9
736741,10.94,736741,11.144,10.701,11.011
736742,10.657,736742,11.11,10.3,10.94
736743,10.24,736743,10.655,10.184,10.62
736744,9.92,736744,10.432,9.903,10.266
736745,9.148,736745,9.92,8.89,9.92
736746,9.07,736746,9.378,8.949,9.148
736747,9.05,736747,9.205,8.82,9.08
736748,9.301,736748,9.535,8.89,9.05
736749,9.277,736749,9.341,9,9.297
736750,9.44,736750,9.499,9.244,9.277
736751,9.033,736751,9.475,8.9,9.45
736752,8.727,736752,9.07,8.7,9.033
736753,8.536,736753,8.8,8.43,8.748
736754,8.35,736754,8.92,8.287,8.536
736755,8.175,736755,8.377,8.105,8.35
